,0GtC,,,1280GtC,,,2560GtC,,,3840GtC,,,5120GtC,,
Year (AD),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm)
1891.5,13.295,1.026,291.156,13.295,1.026,291.156,13.295,1.026,291.156,13.314,1.026,291.239,13.295,1.026,291.156
1892.5,13.310,1.039,291.483,13.310,1.039,291.483,13.310,1.039,291.483,13.326,1.039,291.577,13.310,1.039,291.483
1893.5,13.324,1.043,291.814,13.324,1.043,291.814,13.324,1.043,291.814,13.341,1.043,291.919,13.324,1.043,291.814
1894.5,13.342,1.069,292.168,13.342,1.069,292.168,13.342,1.069,292.168,13.355,1.069,292.284,13.342,1.069,292.168
1895.5,13.356,1.095,292.539,13.356,1.095,292.539,13.356,1.095,292.539,13.367,1.095,292.659,13.356,1.095,292.539
1896.5,13.364,1.112,292.897,13.364,1.112,292.897,13.364,1.112,292.897,13.370,1.112,293.017,13.364,1.112,292.897
1897.5,13.369,1.136,293.231,13.369,1.136,293.231,13.369,1.136,293.231,13.373,1.136,293.348,13.369,1.136,293.231
1898.5,13.366,1.164,293.524,13.366,1.164,293.524,13.366,1.164,293.524,13.368,1.164,293.636,13.366,1.164,293.524
1899.5,13.370,1.203,293.781,13.370,1.203,293.781,13.370,1.203,293.781,13.369,1.203,293.889,13.370,1.203,293.781
1900.5,13.379,1.237,294.064,13.379,1.237,294.064,13.379,1.237,294.064,13.374,1.237,294.162,13.379,1.237,294.064
1901.5,13.388,1.303,294.367,13.388,1.303,294.367,13.388,1.303,294.367,13.377,1.303,294.450,13.388,1.303,294.367
1902.5,13.398,1.333,294.681,13.398,1.333,294.681,13.398,1.333,294.681,13.381,1.333,294.748,13.398,1.333,294.681
1903.5,13.309,1.395,294.828,13.309,1.395,294.828,13.309,1.395,294.828,13.296,1.395,294.873,13.309,1.395,294.828
1904.5,13.281,1.434,294.668,13.281,1.434,294.668,13.281,1.434,294.668,13.268,1.434,294.695,13.281,1.434,294.668
1905.5,13.312,1.490,294.735,13.312,1.490,294.735,13.312,1.490,294.735,13.296,1.490,294.742,13.312,1.490,294.735
1906.5,13.345,1.560,295.011,13.345,1.560,295.011,13.345,1.560,295.011,13.326,1.560,294.999,13.345,1.560,295.011
1907.5,13.353,1.626,295.393,13.353,1.626,295.393,13.353,1.626,295.393,13.335,1.626,295.362,13.353,1.626,295.393
1908.5,13.361,1.618,295.743,13.361,1.618,295.743,13.361,1.618,295.743,13.344,1.618,295.697,13.361,1.618,295.743
1909.5,13.377,1.647,296.144,13.377,1.647,296.144,13.377,1.647,296.144,13.363,1.647,296.085,13.377,1.647,296.144
1910.5,13.386,1.673,296.578,13.386,1.673,296.578,13.386,1.673,296.578,13.377,1.673,296.510,13.386,1.673,296.578
